y_test,y_pred
sensitive,resistant
sensitive,sensitive
resistant,resistant
sensitive,sensitive
resistant,resistant
resistant,sensitive
resistant,resistant
sensitive,sensitive
resistant,resistant
resistant,resistant
sensitive,sensitive
resistant,resistant
resistant,sensitive
resistant,sensitive
resistant,sensitive
resistant,resistant
sensitive,sensitive
resistant,resistant
sensitive,sensitive
sensitive,sensitive
sensitive,sensitive
sensitive,sensitive
resistant,resistant
sensitive,sensitive
resistant,resistant
sensitive,sensitive
resistant,resistant
sensitive,resistant
sensitive,sensitive
sensitive,sensitive
sensitive,sensitive
resistant,resistant
resistant,resistant
resistant,resistant
resistant,sensitive
sensitive,resistant
resistant,resistant
resistant,resistant
resistant,resistant
sensitive,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,sensitive
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
