y_test,y_pred
sensitive,sensitive
sensitive,sensitive
resistant,resistant
sensitive,sensitive
resistant,resistant
sensitive,sensitive
resistant,resistant
sensitive,sensitive
resistant,resistant
resistant,resistant
sensitive,sensitive
resistant,resistant
resistant,sensitive
resistant,resistant
resistant,resistant
resistant,resistant
sensitive,sensitive
resistant,resistant
sensitive,sensitive
sensitive,sensitive
sensitive,sensitive
sensitive,sensitive
resistant,resistant
sensitive,sensitive
resistant,resistant
sensitive,sensitive
resistant,resistant
resistant,resistant
sensitive,sensitive
sensitive,sensitive
sensitive,sensitive
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
sensitive,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
