Chlamydomonas reinhardtii
Arabidopsis thaliana
Arabidopsis thaliana
Phycomyces blakesleeanus
Rhizopus oryzae
Schizosaccharomyces japonicus
Schizosaccharomyces pombe
Schizosaccharomyces octosporus
Phycomyces blakesleeanus
Rhizopus oryzae
Phycomyces blakesleeanus
Schizosaccharomyces japonicus
Schizosaccharomyces octosporus
Schizosaccharomyces pombe
Laccaria bicolor
Coprinopsis cinerea
Coprinopsis cinerea
Phanerochaete chrysosporium
Laccaria bicolor
Coprinopsis cinerea
Coprinopsis cinerea
Ustilago maydis
Cryptococcus gattii VGI
Cryptococcus neoformans
Sporobolomyces roseus
Melampsora larici-populina
Puccinia triticina
Puccinia graminis
Schizosaccharomyces japonicus
Schizosaccharomyces pombe
Schizosaccharomyces octosporus
Schizosaccharomyces pombe
Schizosaccharomyces octosporus
Tetrapisispora phaffii
Eremothecium cymbalariae
Eremothecium gossypii
Eremothecium gossypii
Naumovozyma dairenensis
Naumovozyma castellii
Naumovozyma castellii
Lachancea thermotolerans
Kluyveromyces lactis
Tetrapisispora phaffii
Vanderwaltozyma polyspora
Zygosaccharomyces rouxii
Torulaspora delbrueckii
Naumovozyma dairenensis
Naumovozyma castellii
Naumovozyma castellii
Candida glabrata
Candida glabrata
Saccharomyces cerevisiae
Saccharomyces bayanus
Saccharomyces mikatae
Saccharomyces cerevisiae
Saccharomyces paradoxus
Komagataella pastoris
Komagataella phaffii
Meyerozyma guilliermondii
Debaryomyces hansenii
Scheffersomyces stipitis
Candida dubliniensis
Candida albicans
Candida parapsilosis
Lodderomyces elongisporus
Yarrowia lipolytica
Yarrowia lipolytica
Purpureocillium lilacinum
Dactylellina haptotyla
Arthrobotrys oligospora
Macrophomina phaseolina
Ceratocystis platani
Thielaviopsis punctulata
Oidiodendron maius
Rutstroemia sp. NJR-2017a BBW
Rutstroemia sp. NJR-2017a WRK4
Sclerotinia borealis
Sclerotinia sclerotiorum
Oidiodendron maius
Glarea lozoyensis
Amorphotheca resinae
Marssonina brunnea
Diplocarpon rosae
Diplocarpon rosae
Blumeria graminis
Erysiphe necator
Phialocephala subalpina
Rhynchosporium commune
Rhynchosporium secalis
Penicillium brasilianum
Penicillium oxalicum
Penicillium antarcticum
Penicillium roqueforti
Penicillium digitatum
Penicillium camemberti
Penicillium chrysogenum
Penicillium rubens
Penicillium expansum
Penicillium italicum
Byssochlamys spectabilis
Rasamsonia emersonii
Talaromyces islandicus
Talaromyces stipitatus
Talaromyces marneffei
Talaromyces verruculosus
Penicillium sp. 'occitanis'
Talaromyces cellulolyticus
Penicilliopsis zonata
Aspergillus carbonarius
Aspergillus nidulans
Aspergillus flavus
Aspergillus oryzae
Aspergillus terreus
Aspergillus clavatus
Aspergillus fischeri
Aspergillus fumigatus
Polytolypa hystricis
Paracoccidioides lutzii
Paracoccidioides brasiliensis
Paracoccidioides brasiliensis
Blastomyces gilchristii
Histoplasma capsulatum
Emergomyces pasteurianus
Emmonsia crescens
Coccidioides posadasii
Coccidioides immitis
Nannizzia gypsea
Microsporum canis
Trichophyton rubrum
Trichophyton tonsurans
Trichophyton interdigitale
Trichophyton benhamiae
Trichophyton verrucosum
Endocarpon pusillum
Cyphellophora europaea
Exophiala aquamarina
Capronia coronata
Exophiala dermatitidis
Exophiala spinifera
Fonsecaea erecta
Cladophialophora psammophila
Phialophora americana
Cladophialophora carrionii
Cladophialophora yegresii
Macrophomina phaseolina
Coniosporium apollinis
Periconia macrospinosa
Paraphaeosphaeria sporulosa
Parastagonospora nodorum
Leptosphaeria maculans
Alternaria alternata
Pyrenophora tritici-repentis
Pyrenophora teres
Exserohilum turcicum
Bipolaris sorokiniana
Bipolaris maydis
Bipolaris maydis
Clohesyomyces aquaticus
Corynespora cassiicola
Aureobasidium subglaciale
Aureobasidium pullulans
Elsinoe australis
Hortaea werneckii
Hortaea werneckii
Acidomyces richmondensis
Baudoinia panamericana
Zymoseptoria tritici
Sphaerulina musiva
Pseudocercospora fijiensis
Dothistroma septosporum
Rosellinia necatrix
Microdochium bolleyi
Torrubiella hemipterigena
Grosmannia clavigera
Pyricularia grisea
Pyricularia oryzae
Gaeumannomyces tritici
Sordaria macrospora
Neurospora discreta
Neurospora tetrasperma
Neurospora crassa
Diaporthe ampelina
Cryphonectria parasitica
Stachybotrys chartarum
Fusarium graminearum
Fusarium pseudograminearum
Fusarium oxysporum
Fusarium fujikuroi
Fusarium verticillioides
Acremonium chrysogenum
Trichoderma longibrachiatum
Trichoderma parareesei
Trichoderma reesei
Trichoderma harzianum
Trichoderma virens
Trichoderma atroviride
Trichoderma asperellum
Purpureocillium lilacinum
Moelleriella libera
Metarhizium acridum
Metarhizium majus
Metarhizium robertsii
Claviceps paspali
Atkinsonella hypoxylon
Balansia obtecta
Aciculosporium take
Epichloe gansuensis
Epichloe typhina
Epichloe elymi
Epichloe baconii
Epichloe mollis
Epichloe amarillans
Epichloe brachyelytri
Epichloe aotearoae
Claviceps fusiformis
Claviceps purpurea
Eutypa lata
Podospora anserina
Pestalotiopsis fici
Colletotrichum fructicola
Colletotrichum graminicola
Zymoseptoria tritici
Colletotrichum higginsianum
Phaeoacremonium minimum
Ophiostoma piceae
Sporothrix schenckii
Sporothrix brasiliensis
Chaetomium thermophilum
Chaetomium globosum
Thermothielavioides terrestris
Madurella mycetomatis
