"Target species","orthologs","Nº co-orthologs","CS","EL","Trees","Phylome","Ensembl","EggNOG","OrthoMCL","TreeFAM","Hogenom"
"Aciculosporium take","                                    M!79855928","","1.000","1","2","1.00/2","","","","",""
"Acidomyces richmondensis","                                    A0A150VIK0","","1.000","1","1","","1.00/1","","","",""
"Acremonium chrysogenum","                                    A0A086T8N3","","1.000","1","1","","1.00/1","","","",""
"Alternaria alternata","                                    A0A177DXK3","","1.000","1","1","","1.00/1","","","",""
"Amorphotheca resinae","                                    A0A2T3AQ03","","1.000","1","1","","1.00/1","","","",""
"Arthrobotrys oligospora","                                    G1X6J7","","1.000","1","1","","1.00/1","","","",""
"Aspergillus carbonarius","                                    A0A1R3S122","","1.000","1","4","1.00/4","","","","",""
"Aspergillus clavatus","                                    A1CU82","","1.000","4","65","1.00/60","1.00/1","1.00/2","","","1.00/2"
"Aspergillus fischeri","                                    A1DNW5","","1.000","4","44","1.00/36","1.00/1","1.00/5","","","1.00/2"
"Aspergillus flavus","                                    M!42383968","","1.000","4","68","1.00/60","1.00/1","1.00/5","","","1.00/2"
"Aspergillus fumigatus","                                    B0Y8S7","","1.000","3","8","","1.00/1","1.00/5","","","1.00/2"
"Aspergillus nidulans","                                    Q92225","","1.000","4","74","1.00/66","1.00/1","1.00/5","","","1.00/2"
"Aspergillus oryzae","                                    Q2UUU4","","1.000","4","44","1.00/36","1.00/1","1.00/5","","","1.00/2"
"Aspergillus terreus","                                    Q0CSQ6","","1.000","4","44","1.00/36","1.00/1","1.00/5","","","1.00/2"
"Atkinsonella hypoxylon","                                    M!81767459","","1.000","1","2","1.00/2","","","","",""
"Aureobasidium pullulans","                                    A0A074XG47","","1.000","1","1","","1.00/1","","","",""
"Aureobasidium subglaciale","                                    A0A074YHY3","","1.000","1","1","","1.00/1","","","",""
"Balansia obtecta","                                    M!78970955","","1.000","1","2","1.00/2","","","","",""
"Baudoinia panamericana","                                    M!111734262","","1.000","1","1","","1.00/1","","","",""
"Bipolaris maydis","                                    N4XB50","","1.000","1","1","","1.00/1","","","",""
"Bipolaris maydis","                                    M!41879352","","1.000","1","16","1.00/16","","","","",""
"Bipolaris sorokiniana","                                    M2THI6","","1.000","1","1","","1.00/1","","","",""
"Blastomyces gilchristii","                                    A0A179U6L1","","1.000","1","1","","1.00/1","","","",""
"Blumeria graminis","                                    N1JAU5","","1.000","1","1","","1.00/1","","","",""
"Byssochlamys spectabilis","                                    V5FCR0","","1.000","2","5","1.00/4","1.00/1","","","",""
"Candida parapsilosis","                                    A9YLC3","","1.000","1","12","1.00/12","","","","",""
"Candida tropicalis","                                    C5MF17","","1.000","1","2","","","1.00/2","","",""
"Capronia coronata","                                    W9YU25","","1.000","1","1","","1.00/1","","","",""
"Ceratocystis platani","                                    A0A0F8DKC8","","1.000","1","1","","1.00/1","","","",""
"Chaetomium thermophilum","                                    G0S2K9","","1.000","1","1","","1.00/1","","","",""
"Cladophialophora carrionii","                                    V9DT53","","1.000","1","1","","1.00/1","","","",""
